id,bulletin_date,table_type,category,country,priority_date,is_current,is_unavailable,scraped_at
570.0,2026-07-01,Dates_for_Filing,Other Workers,Philippines,2022-08-01,0,0,2026-06-22 19:08:29
501.0,2026-07-01,Final_Action,1st,All_Chargeability_Areas,CURRENT,1,0,2026-06-22 19:08:29
502.0,2026-07-01,Final_Action,1st,China,2023-06-01,0,0,2026-06-22 19:08:29
503.0,2026-07-01,Final_Action,1st,India,2022-10-15,0,0,2026-06-22 19:08:29
504.0,2026-07-01,Final_Action,1st,Mexico,CURRENT,1,0,2026-06-22 19:08:29
505.0,2026-07-01,Final_Action,1st,Philippines,CURRENT,1,0,2026-06-22 19:08:29
506.0,2026-07-01,Final_Action,2nd,All_Chargeability_Areas,CURRENT,1,0,2026-06-22 19:08:29
507.0,2026-07-01,Final_Action,2nd,China,2021-09-01,0,0,2026-06-22 19:08:29
508.0,2026-07-01,Final_Action,2nd,India,UNAVAILABLE,0,1,2026-06-22 19:08:29
509.0,2026-07-01,Final_Action,2nd,Mexico,CURRENT,1,0,2026-06-22 19:08:29
510.0,2026-07-01,Final_Action,2nd,Philippines,CURRENT,1,0,2026-06-22 19:08:29
511.0,2026-07-01,Final_Action,3rd,All_Chargeability_Areas,2024-08-01,0,0,2026-06-22 19:08:29
512.0,2026-07-01,Final_Action,3rd,China,2021-12-22,0,0,2026-06-22 19:08:29
513.0,2026-07-01,Final_Action,3rd,India,2014-01-01,0,0,2026-06-22 19:08:29
514.0,2026-07-01,Final_Action,3rd,Mexico,2024-08-01,0,0,2026-06-22 19:08:29
515.0,2026-07-01,Final_Action,3rd,Philippines,2023-08-01,0,0,2026-06-22 19:08:29
521.0,2026-07-01,Final_Action,4th,All_Chargeability_Areas,2022-09-15,0,0,2026-06-22 19:08:29
522.0,2026-07-01,Final_Action,4th,China,2022-09-15,0,0,2026-06-22 19:08:29
523.0,2026-07-01,Final_Action,4th,India,2022-09-15,0,0,2026-06-22 19:08:29
524.0,2026-07-01,Final_Action,4th,Mexico,2022-09-15,0,0,2026-06-22 19:08:29
525.0,2026-07-01,Final_Action,4th,Philippines,2022-09-15,0,0,2026-06-22 19:08:29
541.0,2026-07-01,Final_Action,5th High Unemployment,All_Chargeability_Areas,CURRENT,1,0,2026-06-22 19:08:29
542.0,2026-07-01,Final_Action,5th High Unemployment,China,CURRENT,1,0,2026-06-22 19:08:29
543.0,2026-07-01,Final_Action,5th High Unemployment,India,CURRENT,1,0,2026-06-22 19:08:29
