bulletin_date,1st,2nd,3rd,4th,5th High Unemployment,5th Infrastructure,5th Non-Regional Center (C5 and T5),5th Non-Regional Center (C5 and T5),5th Regional Center (I5 and R5),5th Regional Center (I5 and R5),5th Rural,5th Unreserved,5th Non-Regional Center (C5 and T5),5th Regional Center (I5 and R5),Certain Religious Workers,Other Workers
2020-01-01,2017-10-01,2016-08-01,2017-03-01,CURRENT,,,,2015-05-15,,,,,,2015-05-15,CURRENT,2008-08-01
2020-02-01,2017-10-01,2016-08-01,2017-03-01,CURRENT,,,,2015-05-15,,,,,,2015-05-15,CURRENT,2008-08-01
2020-03-01,2017-10-01,2016-08-01,2017-03-01,CURRENT,,,,2015-12-15,,,,,,2015-12-15,CURRENT,2008-08-01
2020-04-01,2017-10-01,2016-08-01,2017-03-01,CURRENT,,,,2015-12-15,,,,,,2015-12-15,CURRENT,2008-08-01
2020-05-01,2017-10-01,2016-08-01,2017-03-01,CURRENT,,,,2015-12-15,,,,,,2015-12-15,CURRENT,2008-08-01
2020-06-01,2017-10-01,2016-08-01,2017-03-01,CURRENT,,,,2015-12-15,,,,,,2015-12-15,CURRENT,2008-08-01
2020-07-01,2017-11-01,2016-08-01,2017-03-01,CURRENT,,,,2015-12-15,,,,,,2015-12-15,CURRENT,2008-08-01
2020-08-01,2018-07-01,2016-08-01,2017-05-01,CURRENT,,,,2015-12-15,,,,,,2015-12-15,CURRENT,2008-10-01
2020-09-01,2018-07-01,2016-08-01,2017-05-01,CURRENT,,,,2015-12-15,,,,,,2015-12-15,CURRENT,2008-10-01
2020-10-01,2020-09-01,2016-10-01,2018-06-01,CURRENT,,,,2015-12-15,,,,,,2015-12-15,CURRENT,2008-10-01
2020-11-01,2020-09-01,2016-10-01,2018-06-01,CURRENT,,,,2015-12-15,,,,,,2015-12-15,CURRENT,2009-05-01
2020-12-01,2020-11-01,2016-10-01,2018-06-01,CURRENT,,,,2015-12-15,,,,,,2015-12-15,CURRENT,2009-05-01
2021-01-01,2020-11-01,2016-10-01,2018-06-01,CURRENT,,,,2015-12-15,,,,,,2015-12-15,CURRENT,2009-07-01
2021-02-01,2020-11-01,2016-10-01,2018-06-01,CURRENT,,,,2015-12-15,,,,,,2015-12-15,CURRENT,2009-07-01
2021-03-01,CURRENT,2016-10-01,2018-06-01,CURRENT,,,,2015-12-15,,,,,,2015-12-15,CURRENT,2009-07-01
2021-04-01,CURRENT,2017-01-01,2018-08-01,CURRENT,,,,2015-12-15,,,,,,2015-12-15,CURRENT,2009-09-01
2021-05-01,CURRENT,2017-07-01,2018-09-01,CURRENT,,,,2015-12-15,,,,,,2015-12-15,CURRENT,2009-11-01
2021-06-01,CURRENT,2018-01-01,2019-01-01,CURRENT,,,,2015-12-15,,,,,,2015-12-15,CURRENT,2010-01-01
2021-07-01,CURRENT,2018-07-01,2019-07-01,CURRENT,,,,2015-12-15,,,,,,2015-12-15,CURRENT,2010-05-01
2021-08-01,CURRENT,2018-07-01,2019-07-01,CURRENT,,,,2015-12-15,,,,,,2015-12-15,CURRENT,2010-05-01
2021-09-01,CURRENT,2018-09-01,2019-07-01,CURRENT,,,,2015-12-15,,,,,,2015-12-15,CURRENT,2010-05-01
2021-10-01,CURRENT,2018-09-01,2019-01-15,CURRENT,,,,2015-12-15,,,,,,2015-12-15,CURRENT,2010-05-01
2021-11-01,CURRENT,2019-02-01,2018-04-01,CURRENT,,,,2015-12-15,,,,,,2015-12-15,CURRENT,2010-05-01
2021-12-01,CURRENT,2019-04-01,2018-04-01,CURRENT,,,,CURRENT,,,,,,2015-12-15,CURRENT,2015-05-01
2022-01-01,CURRENT,2019-04-01,2018-04-01,CURRENT,,,,CURRENT,,,,,,2015-12-15,CURRENT,2015-05-01
2022-02-01,CURRENT,2019-04-01,2018-04-01,CURRENT,,,,CURRENT,,,,,,2015-12-15,CURRENT,2015-06-01
2022-03-01,CURRENT,2019-04-01,2018-04-01,CURRENT,,,,CURRENT,,,,,,2015-12-15,CURRENT,2015-07-01
2022-04-01,CURRENT,2019-04-01,2018-04-01,CURRENT,,,,CURRENT,,,,,,2015-12-15,CURRENT,2015-08-01
